timestamp_ms,A1,A2,A3,x_calc,y_calc,error,x_real,y_real
2166980,2.59,1.26,3.13,2.3109532374100716,0.9852,0.3113052454678597,2.0,1.0
2167100,2.59,1.26,3.15,2.3109532374100716,0.9642666666666666,0.3129996596913733,2.0,1.0
2167120,2.59,1.22,3.15,2.328794964028777,0.9642666666666666,0.3307310077416327,2.0,1.0
2167130,2.54,1.22,3.15,2.2826618705035973,0.9215166666666668,0.2933553589892359,2.0,1.0
2167270,2.54,1.24,3.15,2.2738129496402877,0.9215166666666668,0.2848388404024736,2.0,1.0
2167280,2.55,1.24,3.15,2.28296762589928,0.9299999999999999,0.2914973024010256,2.0,1.0
2167420,2.55,1.22,3.15,2.2918165467625897,0.9299999999999999,0.3000948132914708,2.0,1.0
2167430,2.54,1.22,3.15,2.2826618705035973,0.9215166666666668,0.2933553589892359,2.0,1.0
2167550,2.54,1.22,3.16,2.2826618705035973,0.9109999999999997,0.2963422565828107,2.0,1.0
2167570,2.54,1.25,3.16,2.269334532374101,0.9109999999999997,0.2836584042985078,2.0,1.0
2167580,2.51,1.25,3.16,2.2420863309352517,0.8857499999999995,0.2676917147124511,2.0,1.0
2167700,2.51,1.25,3.14,2.2420863309352517,0.9067499999999997,0.25942504529380395,2.0,1.0
2167720,2.51,1.25,3.14,2.2420863309352517,0.9067499999999997,0.25942504529380395,2.0,1.0
2167730,2.55,1.25,3.14,2.2784892086330935,0.9404833333333331,0.2847779361822081,2.0,1.0
2167850,2.55,1.25,3.14,2.2784892086330935,0.9404833333333331,0.2847779361822081,2.0,1.0
2167870,2.55,1.22,3.14,2.2918165467625897,0.9404833333333331,0.29782399261233783,2.0,1.0
2167880,2.53,1.22,3.14,2.273543165467626,0.9235499999999998,0.284025466946274,2.0,1.0
2168000,2.53,1.22,3.12,2.273543165467626,0.9444166666666663,0.2791332483214664,2.0,1.0
2168020,2.53,1.24,3.12,2.2646942446043163,0.9444166666666663,0.27046728096221573,2.0,1.0
2168030,2.53,1.24,3.12,2.2646942446043163,0.9444166666666663,0.27046728096221573,2.0,1.0
2168300,2.53,1.24,3.12,2.2646942446043163,0.9444166666666663,0.27046728096221573,2.0,1.0
2168320,2.53,1.23,3.12,2.269136690647482,0.9444166666666663,0.27481642090152264,2.0,1.0
2168330,2.52,1.23,3.12,2.2600539568345326,0.9359999999999999,0.2678134807385486,2.0,1.0
2168450,2.52,1.23,3.13,2.2600539568345326,0.9255833333333335,0.2704919605886184,2.0,1.0
2168470,2.52,1.24,3.13,2.255611510791367,0.9255833333333335,0.26622374936662374,2.0,1.0
2168480,2.55,1.24,3.13,2.28296762589928,0.9509333333333334,0.28719020715346955,2.0,1.0
2168600,2.55,1.24,3.14,2.28296762589928,0.9404833333333331,0.28915897170619853,2.0,1.0
2168620,2.55,1.23,3.14,2.287410071942446,0.9404833333333331,0.293507722326131,2.0,1.0
2168630,2.51,1.23,3.14,2.251007194244604,0.9067499999999997,0.26776888180396985,2.0,1.0
2168750,2.51,1.23,3.12,2.251007194244604,0.9276166666666663,0.26123544649796826,2.0,1.0
2168770,2.51,1.22,3.12,2.255413669064748,0.9276166666666663,0.265472200596524,2.0,1.0
2168780,2.56,1.22,3.12,2.3010071942446046,0.9698666666666665,0.3025117332679626,2.0,1.0
2168900,2.56,1.22,3.11,2.3010071942446046,0.9802500000000003,0.30165442726240427,2.0,1.0
2168920,2.56,1.24,3.11,2.292158273381295,0.9802500000000003,0.2928250658757538,2.0,1.0
2168930,2.57,1.24,3.11,2.3013848920863307,0.9888,0.3015929262729635,2.0,1.0
2169050,2.57,1.24,3.14,2.3013848920863307,0.9575499999999997,0.3043597471379703,2.0,1.0
2169070,2.57,1.23,3.14,2.3058273381294963,0.9575499999999997,0.30875939377996786,2.0,1.0
2169080,2.56,1.23,3.14,2.29660071942446,0.949,0.30095346278637064,2.0,1.0
2169200,2.56,1.23,3.14,2.29660071942446,0.949,0.30095346278637064,2.0,1.0
2169220,2.56,1.23,3.14,2.29660071942446,0.949,0.30095346278637064,2.0,1.0
2169230,2.51,1.23,3.14,2.251007194244604,0.9067499999999997,0.26776888180396985,2.0,1.0
2169350,2.51,1.23,3.11,2.251007194244604,0.938,0.25855098445480407,2.0,1.0
2169370,2.51,1.24,3.11,2.2465647482014384,0.938,0.2542403883249841,2.0,1.0
2169380,2.53,1.24,3.11,2.2646942446043163,0.9548000000000001,0.26852575877678786,2.0,1.0
2169500,2.53,1.24,3.16,2.2646942446043163,0.9025499999999995,0.2820630171196673,2.0,1.0
2169520,2.53,1.22,3.16,2.273543165467626,0.9025499999999995,0.29038313634584406,2.0,1.0
2169530,2.55,1.22,3.16,2.2918165467625897,0.919483333333333,0.3027207138197746,2.0,1.0
2169650,2.55,1.22,3.13,2.2918165467625897,0.9509333333333334,0.29591288370434377,2.0,1.0
2169670,2.55,1.23,3.13,2.287410071942446,0.9509333333333334,0.29156832343678873,2.0,1.0
2169680,2.52,1.23,3.13,2.2600539568345326,0.9255833333333335,0.2704919605886184,2.0,1.0
2169800,2.52,1.23,3.12,2.2600539568345326,0.9359999999999999,0.2678134807385486,2.0,1.0
2169820,2.52,1.21,3.12,2.2688309352517986,0.9359999999999999,0.2763441183531083,2.0,1.0
2169830,2.52,1.21,3.12,2.2688309352517986,0.9359999999999999,0.2763441183531083,2.0,1.0
2169950,2.52,1.21,3.16,2.2688309352517986,0.8941333333333331,0.28892528940795037,2.0,1.0
